barcode,category,name
0096619483556,Yogurts,organic GREEK YOGURT plain
0689544083016,Yogurts,Total 0% Milkfat
0894700010137,Yogurts,Greek Yogurt Nonfat Plain
0028400147408,Potato crisps,GARDEN SALSA FLAVORED Sun Chips
0850036699187,Potato crisps,Sweet Potato Chips Sea Salt
0810091780947,Potato crisps,Tortilla Chips
0096619555505,Peanut butters,Organic Creamy Peanut Butter
0051500255162,Peanut butters,Creamy Peanut Butter
0051500240946,Peanut butters,CREAMY PEANUT BUTTER
0747479000413,Sauces,Marinara
0815074022809,Sauces,Classic Mayo
0863699000108,Sauces,MAYO Real Mayonnaise made with Avocado Oil
0037466016450,Chocolates,Dark Chocolate
0857484006611,Chocolates,dark chocolate coconut whips
03424005,Chocolates,milk chocolate
0014100075233,Crackers,Goldfish Baked Snack Crackers Cheddar
0856069005124,Crackers,Almond Flour Crackers Rosemary & Sea Salt
0030100111238,Crackers,CLUB CRACKERS SNACK STACKS
0074570650576,Ice creams,vanilla bean ice cream
0074570024001,Ice creams,strawberry ice cream
0071899051015,Ice creams,Homemade Vanilla
0044000050986,Cookies,original made with sea salt
0731216103987,Cookies,Aussie Bites
0047495112900,Cookies,Fig Bar Blueberry
0070847012474,Energy drinks,Zero Ultra
0012000028496,Energy drinks,DOUBLESHOT ENERGY ENERGY COFFEE BEVERAGE
0889392021394,Energy drinks,Tropical Vibe Sparkling Starfruit Pineapple Ed
0016000264694,Granola bars,Oats 'N Honey Granola Bars
0722252101204,Granola bars,ClifBar Crunchy Peanut Butter
0096619215607,Granola bars,Nut Bars with Cocoa Drizzle & Sea Salt
